Empresa,AvisosActivos,Provincia,Empleados,Empleados_Min,Empleados_Max,Empleados_Promedio
NATURISA S.A.,6,Guayas,1001 y 5000,1001,5000,3000.5
VITA alimentos C.A.,3,Pichincha,151 y 300,151,300,225.5
MUEBLES EL BOSQUE S.A.,6,Guayas,151 y 300,151,300,225.5
GENESIS,3,Guayas,151 y 300,151,300,225.5
Cooperativa de Ahorro y Crédito El Sagrario Ltda.,2,Tungurahua,151 y 300,151,300,225.5
Banco General Rumiñahui,1,Pichincha,301 y 500,301,500,400.5
PAGUE YA,14,Guayas,501 y 1000,501,1000,750.5
BANCO ATLÁNTIDA,2,Guayas,151 y 300,151,300,225.5
Hoteles Decameron Ecuador S.A.,8,Pichincha,1001 y 5000,1001,5000,3000.5
Agrovanic S.A. (LONCHYS),1,Guayas,51 y 150,51,150,100.5
CLARO,24,Pichincha,501 y 1000,501,1000,750.5
UNIVERSIDAD DE LAS AMÉRICAS,4,Pichincha,1001 y 5000,1001,5000,3000.5
Manufacturas Americanas,3,Pichincha,151 y 300,151,300,225.5
OMARSA S.A.,1,Guayas,1001 y 5000,1001,5000,3000.5
Almacenes Estuardo Sánchez,2,No especificado,501 y 1000,501,1000,750.5
SWEET & COFFEE,4,Guayas,1001 y 5000,1001,5000,3000.5
ALMACENES LA GANGA REGION SIERRA,14,No especificado,,0,0,0.0
Caves S.A. Ema,6,Pichincha,301 y 500,301,500,400.5
ZODIPLAST S.A.,2,No especificado,151 y 300,151,300,225.5
SICON ECUADOR,1,Pichincha,51 y 150,51,150,100.5
Casabaca S.A.,29,Pichincha,501 y 1000,501,1000,750.5
EMBUTIDOS LA ITALIANA,7,Azuay,501 y 1000,501,1000,750.5
GRAIMAN,6,Azuay,151 y 300,151,300,225.5
COOPROGRESO,1,Pichincha,301 y 500,301,500,400.5
SEGUROS SALUD,10,Pichincha,501 y 1000,501,1000,750.5
SHOPPING MANAGEMENTS OPERADORA S.A.,5,Pichincha,51 y 150,51,150,100.5
GRUPO LA GANGA,14,Pichincha,1001 y 5000,1001,5000,3000.5
ALVAREZ BARBA,2,Pichincha,51 y 150,51,150,100.5
COOPERATIVA 29 DE OCTUBRE,9,Pichincha,151 y 300,151,300,225.5
PETROPLATINUM CIA. LTDA. Grupo Empresarial Villacis,9,Pichincha,301 y 500,301,500,400.5
MOTORCYCLE ASSEMBLY - LINE OF ECUADOR S.A. MASSLINE,12,Guayas,151 y 300,151,300,225.5
ALMACENES MONTERO,6,No especificado,301 y 500,301,500,400.5
Integracion Avícola Oro S.A.,2,Pichincha,501 y 1000,501,1000,750.5
Optica Los Andes,9,Pichincha,301 y 500,301,500,400.5
UNICOMER,5,Guayas,501 y 1000,501,1000,750.5
NEXCOL S.A.,5,Guayas,51 y 150,51,150,100.5
JABONERIA WILSON,13,Pichincha,301 y 500,301,500,400.5
CHAIDE Y CHAIDE S.A.,2,Pichincha,301 y 500,301,500,400.5
Naturissimo Ecuador,3,Guayas,301 y 500,301,500,400.5
ChevyPlan Ecuador,10,Pichincha,151 y 300,151,300,225.5
TRAMACOEXPRESS CIA LTDA,3,Pichincha,301 y 500,301,500,400.5
EFICACIA,241,Pichincha,501 y 1000,501,1000,750.5
CENTRO CERÁMICO,9,Azuay,1001 y 5000,1001,5000,3000.5
JAHER,41,Azuay,501 y 1000,501,1000,750.5
BOYACÁ,4,Guayas,301 y 500,301,500,400.5
ZAIMELLA DEL ECUADOR S.A.,3,Pichincha,151 y 300,151,300,225.5
INDUCORP,3,Guayas,501 y 1000,501,1000,750.5
Tecopesca,7,Manabí,1001 y 5000,1001,5000,3000.5
COMISARIATO EL CONSTRUCTOR S.A.,11,Guayas,301 y 500,301,500,400.5
ORIENTAL INDUSTRIA ALIMENTICIA O.I.A. S A,8,Los Ríos,501 y 1000,501,1000,750.5
Grupo Ecuacopia,12,Pichincha,151 y 300,151,300,225.5
AGUNSA,7,Guayas,1001 y 5000,1001,5000,3000.5
ILE,7,Loja,301 y 500,301,500,400.5
UNNOPARTS S.A.,6,Azuay,151 y 300,151,300,225.5
QSI ECUADOR S.A.,5,Pichincha,151 y 300,151,300,225.5
ACEROSCENTER CIA. LTDA,3,Pichincha,301 y 500,301,500,400.5
REYBANPAC C. L.,14,Guayas,,0,0,0.0
ASERTIA OPERACIONES COMERCIALES,1,Pichincha,151 y 300,151,300,225.5
Trade Alliance Corporation,7,No especificado,1001 y 5000,1001,5000,3000.5
Oro Verde Hotels,18,Guayas,501 y 1000,501,1000,750.5
DUEÑAS CORP,2,No especificado,1 y 10,1,10,5.5
COOPMEGO,13,Loja,151 y 300,151,300,225.5
Empresas Pinto S.A.,7,Pichincha,301 y 500,301,500,400.5
BANCO DE MACHALA,3,Pichincha,301 y 500,301,500,400.5
FARMCORP,6,Guayas,501 y 1000,501,1000,750.5
Plusservices by GEA,10,Guayas,1001 y 5000,1001,5000,3000.5
ALISERVIS S.A. - Domino's Pizza Ecuador,10,Pichincha,301 y 500,301,500,400.5
LATINOAMERICANA DE VEHÍCULOS C.A. LAVCA,4,Pichincha,151 y 300,151,300,225.5
QUALIPHARM LABORATORIO FARMACEUTICO S.A.,2,Pichincha,301 y 500,301,500,400.5
PANIFICADORA AMBATO,1,Pichincha,301 y 500,301,500,400.5
Importador Ferretero Trujillo Cía. Ltda.,4,Pichincha,501 y 1000,501,1000,750.5
GRUPO MAVESA,22,Guayas,501 y 1000,501,1000,750.5
CRESA-RETAIL S.A.S.,19,Guayas,1001 y 5000,1001,5000,3000.5
SEDEMI,15,Pichincha,501 y 1000,501,1000,750.5
Cooperativa de Ahorro y Crédito 23 de Julio,16,Pichincha,301 y 500,301,500,400.5
MARCSEAL S.A,6,Pichincha,51 y 150,51,150,100.5
CORIS ECUADOR,5,Pichincha,151 y 300,151,300,225.5
COOPERATIVA DE AHORRO Y CREDITO JEP,12,Azuay,1001 y 5000,1001,5000,3000.5
ASSA,35,Tungurahua,301 y 500,301,500,400.5
Ecoilpet S.A,1,Pichincha,301 y 500,301,500,400.5
ECUACONEXIÓN S. A.,9,Guayas,151 y 300,151,300,225.5
ALMACENES ESPAÑA,21,Pichincha,301 y 500,301,500,400.5
DEVIES CORP S.A.,3,Guayas,301 y 500,301,500,400.5
LIRIS S.A.,11,Guayas,501 y 1000,501,1000,750.5
